INDEX,GRAIN_PATH,ORIGIN,ROW,LANDRACE,IS_BERE,IS_FARO,IS_UNKNOWN,KFOLD,TRAIN(0|1|2)/VALIDATION(3)/TEST(4)
68,/Dundee/2ROW British/DHBT16P20 4.stl,Dundee,2,British,0,0,0,0,train
112,/Dundee/2ROW British/DHBT16P20 2.stl,Dundee,2,British,0,0,0,0,train
82,/Dundee/2ROW British/DHBT16P103 1.stl,Dundee,2,British,0,0,0,0,train
50,/Dundee/2ROW British/DHBT16P103 2.stl,Dundee,2,British,0,0,0,0,train
41,/Dundee/2ROW British/DHBT16T25 9.stl,Dundee,2,British,0,0,0,0,train
16,/Dundee/2ROW British/DHBT16T31 9.stl,Dundee,2,British,0,0,0,0,train
84,/Dundee/2ROW British/DHBT16T31 5.stl,Dundee,2,British,0,0,0,0,train
88,/Dundee/2ROW British/DHBT16T31 7.stl,Dundee,2,British,0,0,0,0,train
95,/Dundee/2ROW British/DHBT16P50 2.stl,Dundee,2,British,0,0,0,0,train
62,/Dundee/2ROW British/DHBT16P50 3.stl,Dundee,2,British,0,0,0,0,train
30,/Dundee/2ROW British/DHBT16P26 8.stl,Dundee,2,British,0,0,0,0,train
73,/Dundee/2ROW British/DHBT16T31 10.stl,Dundee,2,British,0,0,0,0,train
9,/Dundee/2ROW British/DHBT16P35 6.stl,Dundee,2,British,0,0,0,0,train
106,/Dundee/2ROW British/DHBT16T37 10.stl,Dundee,2,British,0,0,0,0,train
47,/Dundee/2ROW British/DHBT16P35 5.stl,Dundee,2,British,0,0,0,0,train
76,/Dundee/2ROW British/DHBT16T31 1.stl,Dundee,2,British,0,0,0,0,train
107,/Dundee/2ROW British/DHBT16P55 7.stl,Dundee,2,British,0,0,0,0,train
92,/Dundee/2ROW British/DHBT16P19 6.stl,Dundee,2,British,0,0,0,0,train
26,/Dundee/2ROW British/DHBT16T37 9.stl,Dundee,2,British,0,0,0,0,train
37,/Dundee/2ROW British/DHBT16P43 1.stl,Dundee,2,British,0,0,0,0,train
1,/Dundee/2ROW British/DHBT16T37 4.stl,Dundee,2,British,0,0,0,0,train
32,/Dundee/2ROW British/DHBT16P20 9.stl,Dundee,2,British,0,0,0,0,train
21,/Dundee/2ROW British/DHBT16P20 3.stl,Dundee,2,British,0,0,0,0,train
